X, Y, B1_ORIGINAL, B2_ORIGINAL, B3_ORIGINAL, CLASSIFICACAO 
789, 2167, 101, 183, 14,Floresta 
789, 2168, 101, 183, 14,Floresta 
789, 2169, 101, 183, 14,Floresta 
789, 2170, 101, 183, 14,Floresta 
789, 2171, 101, 183, 14,Floresta 
789, 2172, 101, 183, 14,Floresta 
789, 2173, 101, 183, 14,Floresta 
789, 2174, 101, 183, 14,Floresta 
790, 2167, 101, 183, 14,Floresta 
790, 2168, 101, 183, 14,Floresta 
790, 2169, 101, 183, 14,Floresta 
790, 2170, 101, 183, 14,Floresta 
790, 2171, 101, 183, 14,Floresta 
790, 2172, 101, 183, 14,Floresta 
790, 2173, 101, 183, 14,Floresta 
790, 2174, 101, 183, 14,Floresta 
791, 2167, 101, 183, 14,Floresta 
791, 2168, 101, 183, 14,Floresta 
791, 2169, 101, 183, 14,Floresta 
791, 2170, 101, 183, 14,Floresta 
791, 2171, 101, 183, 14,Floresta 
791, 2172, 101, 183, 14,Floresta 
791, 2173, 101, 183, 14,Floresta 
791, 2174, 101, 183, 14,Floresta 
792, 2167, 101, 183, 14,Floresta 
792, 2168, 101, 183, 14,Floresta 
792, 2169, 101, 183, 14,Floresta 
792, 2170, 101, 183, 14,Floresta 
792, 2171, 101, 183, 14,Floresta 
792, 2172, 101, 183, 14,Floresta 
792, 2173, 101, 183, 14,Floresta 
792, 2174, 101, 183, 14,Floresta 
793, 2167, 101, 183, 14,Floresta 
793, 2168, 101, 183, 14,Floresta 
793, 2169, 101, 183, 14,Floresta 
793, 2170, 101, 183, 14,Floresta 
793, 2171, 101, 183, 14,Floresta 
793, 2172, 101, 183, 14,Floresta 
793, 2173, 101, 183, 14,Floresta 
793, 2174, 101, 183, 14,Floresta 
794, 2167, 101, 183, 14,Floresta 
794, 2168, 101, 183, 14,Floresta 
794, 2169, 101, 183, 14,Floresta 
794, 2170, 101, 183, 14,Floresta 
794, 2171, 101, 183, 14,Floresta 
794, 2172, 101, 183, 14,Floresta 
794, 2173, 101, 183, 14,Floresta 
794, 2174, 101, 183, 14,Floresta 
795, 2167, 101, 183, 14,Floresta 
795, 2168, 101, 183, 14,Floresta 
795, 2169, 101, 183, 14,Floresta 
795, 2170, 101, 183, 14,Floresta 
795, 2171, 101, 183, 14,Floresta 
795, 2172, 101, 183, 14,Floresta 
795, 2173, 101, 183, 14,Floresta 
795, 2174, 101, 183, 14,Floresta 
796, 2167, 101, 183, 14,Floresta 
796, 2168, 101, 183, 14,Floresta 
796, 2169, 101, 183, 14,Floresta 
796, 2170, 101, 183, 14,Floresta 
796, 2171, 101, 183, 14,Floresta 
796, 2172, 101, 183, 14,Floresta 
796, 2173, 101, 183, 14,Floresta 
796, 2174, 101, 183, 14,Floresta 
813, 1416, 101, 183, 14,Floresta 
813, 1417, 101, 183, 14,Floresta 
813, 1418, 101, 183, 14,Floresta 
813, 1419, 101, 183, 14,Floresta 
813, 1420, 101, 183, 14,Floresta 
813, 1421, 101, 183, 14,Floresta 
813, 1422, 101, 183, 14,Floresta 
813, 1423, 101, 183, 14,Floresta 
814, 1416, 101, 183, 14,Floresta 
814, 1417, 101, 183, 14,Floresta 
814, 1418, 101, 183, 14,Floresta 
814, 1419, 101, 183, 14,Floresta 
814, 1420, 101, 183, 14,Floresta 
814, 1421, 101, 183, 14,Floresta 
814, 1422, 101, 183, 14,Floresta 
814, 1423, 101, 183, 14,Floresta 
815, 1416, 101, 183, 14,Floresta 
815, 1417, 101, 183, 14,Floresta 
815, 1418, 101, 183, 14,Floresta 
815, 1419, 101, 183, 14,Floresta 
815, 1420, 101, 183, 14,Floresta 
815, 1421, 101, 183, 14,Floresta 
815, 1422, 101, 183, 14,Floresta 
815, 1423, 101, 183, 14,Floresta 
816, 1416, 101, 183, 14,Floresta 
816, 1417, 101, 183, 14,Floresta 
816, 1418, 101, 183, 14,Floresta 
816, 1419, 101, 183, 14,Floresta 
816, 1420, 101, 183, 14,Floresta 
816, 1421, 101, 183, 14,Floresta 
816, 1422, 101, 183, 14,Floresta 
816, 1423, 101, 183, 14,Floresta 
817, 1416, 101, 183, 14,Floresta 
817, 1417, 101, 183, 14,Floresta 
817, 1418, 101, 183, 14,Floresta 
817, 1419, 101, 183, 14,Floresta 
817, 1420, 101, 183, 14,Floresta 
817, 1421, 101, 183, 14,Floresta 
817, 1422, 101, 183, 14,Floresta 
817, 1423, 101, 183, 14,Floresta 
818, 1416, 101, 183, 14,Floresta 
818, 1417, 101, 183, 14,Floresta 
818, 1418, 101, 183, 14,Floresta 
818, 1419, 101, 183, 14,Floresta 
818, 1420, 101, 183, 14,Floresta 
818, 1421, 101, 183, 14,Floresta 
818, 1422, 101, 183, 14,Floresta 
818, 1423, 101, 183, 14,Floresta 
819, 1416, 101, 183, 14,Floresta 
819, 1417, 101, 183, 14,Floresta 
819, 1418, 101, 183, 14,Floresta 
819, 1419, 101, 183, 14,Floresta 
819, 1420, 101, 183, 14,Floresta 
819, 1421, 101, 183, 14,Floresta 
819, 1422, 101, 183, 14,Floresta 
819, 1423, 101, 183, 14,Floresta 
820, 1416, 101, 183, 14,Floresta 
820, 1417, 101, 183, 14,Floresta 
820, 1418, 101, 183, 14,Floresta 
820, 1419, 101, 183, 14,Floresta 
820, 1420, 101, 183, 14,Floresta 
820, 1421, 101, 183, 14,Floresta 
820, 1422, 101, 183, 14,Floresta 
820, 1423, 101, 183, 14,Floresta 
1077, 2143, 0, 1, 135, Igapó 
1077, 2144, 0, 1, 135, Igapó 
1077, 2145, 0, 1, 135, Igapó 
1077, 2146, 0, 1, 135, Igapó 
1077, 2147, 0, 1, 135, Igapó 
1077, 2148, 0, 1, 135, Igapó 
1077, 2149, 0, 1, 135, Igapó 
1077, 2150, 0, 1, 135, Igapó 
1077, 2175, 0, 1, 135, Igapó 
1077, 2176, 0, 1, 135, Igapó 
1077, 2177, 0, 1, 135, Igapó 
1077, 2178, 0, 1, 135, Igapó 
1077, 2179, 0, 1, 135, Igapó 
1077, 2180, 0, 1, 135, Igapó 
1077, 2181, 0, 1, 135, Igapó 
1077, 2182, 0, 1, 135, Igapó 
1078, 2143, 0, 1, 135, Igapó 
1078, 2144, 0, 1, 135, Igapó 
1078, 2145, 0, 1, 135, Igapó 
1078, 2146, 0, 1, 135, Igapó 
1078, 2147, 0, 1, 135, Igapó 
1078, 2148, 0, 1, 135, Igapó 
1078, 2149, 0, 1, 135, Igapó 
1078, 2150, 0, 1, 135, Igapó 
1078, 2175, 0, 1, 135, Igapó 
1078, 2176, 0, 1, 135, Igapó 
1078, 2177, 0, 1, 135, Igapó 
1078, 2178, 0, 1, 135, Igapó 
1078, 2179, 0, 1, 135, Igapó 
1078, 2180, 0, 1, 135, Igapó 
1078, 2181, 0, 1, 135, Igapó 
1078, 2182, 0, 1, 135, Igapó 
1079, 2143, 0, 1, 135, Igapó 
1079, 2144, 0, 1, 135, Igapó 
1079, 2145, 0, 1, 135, Igapó 
1079, 2146, 0, 1, 135, Igapó 
1079, 2147, 0, 1, 135, Igapó 
1079, 2148, 0, 1, 135, Igapó 
1079, 2149, 0, 1, 135, Igapó 
1079, 2150, 0, 1, 135, Igapó 
1079, 2175, 0, 1, 135, Igapó 
1079, 2176, 0, 1, 135, Igapó 
1079, 2177, 0, 1, 135, Igapó 
1079, 2178, 0, 1, 135, Igapó 
1079, 2179, 0, 1, 135, Igapó 
1079, 2180, 0, 1, 135, Igapó 
1079, 2181, 0, 1, 135, Igapó 
1079, 2182, 0, 1, 135, Igapó 
1080, 2143, 0, 1, 135, Igapó 
1080, 2144, 0, 1, 135, Igapó 
1080, 2145, 0, 1, 135, Igapó 
1080, 2146, 0, 1, 135, Igapó 
1080, 2147, 0, 1, 135, Igapó 
1080, 2148, 0, 1, 135, Igapó 
1080, 2149, 0, 1, 135, Igapó 
1080, 2150, 0, 1, 135, Igapó 
1080, 2175, 0, 1, 135, Igapó 
1080, 2176, 0, 1, 135, Igapó 
1080, 2177, 0, 1, 135, Igapó 
1080, 2178, 0, 1, 135, Igapó 
1080, 2179, 0, 1, 135, Igapó 
1080, 2180, 0, 1, 135, Igapó 
1080, 2181, 0, 1, 135, Igapó 
1080, 2182, 0, 1, 135, Igapó 
1081, 2143, 0, 1, 135, Igapó 
1081, 2144, 0, 1, 135, Igapó 
1081, 2145, 0, 1, 135, Igapó 
1081, 2146, 0, 1, 135, Igapó 
1081, 2147, 0, 1, 135, Igapó 
1081, 2148, 0, 1, 135, Igapó 
1081, 2149, 0, 1, 135, Igapó 
1081, 2150, 0, 1, 135, Igapó 
1081, 2175, 0, 1, 135, Igapó 
1081, 2176, 0, 1, 135, Igapó 
1081, 2177, 0, 1, 135, Igapó 
1081, 2178, 0, 1, 135, Igapó 
1081, 2179, 0, 1, 135, Igapó 
1081, 2180, 0, 1, 135, Igapó 
1081, 2181, 0, 1, 135, Igapó 
1081, 2182, 0, 1, 135, Igapó 
1082, 2143, 0, 1, 135, Igapó 
1082, 2144, 0, 1, 135, Igapó 
1082, 2145, 0, 1, 135, Igapó 
1082, 2146, 0, 1, 135, Igapó 
1082, 2147, 0, 1, 135, Igapó 
1082, 2148, 0, 1, 135, Igapó 
1082, 2149, 0, 1, 135, Igapó 
1082, 2150, 0, 1, 135, Igapó 
1082, 2175, 0, 1, 135, Igapó 
1082, 2176, 0, 1, 135, Igapó 
1082, 2177, 0, 1, 135, Igapó 
1082, 2178, 0, 1, 135, Igapó 
1082, 2179, 0, 1, 135, Igapó 
1082, 2180, 0, 1, 135, Igapó 
1082, 2181, 0, 1, 135, Igapó 
1082, 2182, 0, 1, 135, Igapó 
1083, 2143, 0, 1, 135, Igapó 
1083, 2144, 0, 1, 135, Igapó 
1083, 2145, 0, 1, 135, Igapó 
1083, 2146, 0, 1, 135, Igapó 
1083, 2147, 0, 1, 135, Igapó 
1083, 2148, 0, 1, 135, Igapó 
1083, 2149, 0, 1, 135, Igapó 
1083, 2150, 0, 1, 135, Igapó 
1083, 2175, 0, 1, 135, Igapó 
1083, 2176, 0, 1, 135, Igapó 
1083, 2177, 0, 1, 135, Igapó 
1083, 2178, 0, 1, 135, Igapó 
1083, 2179, 0, 1, 135, Igapó 
1083, 2180, 0, 1, 135, Igapó 
1083, 2181, 0, 1, 135, Igapó 
1083, 2182, 0, 1, 135, Igapó 
1084, 2143, 0, 1, 135, Igapó 
1084, 2144, 0, 1, 135, Igapó 
1084, 2145, 0, 1, 135, Igapó 
1084, 2146, 0, 1, 135, Igapó 
1084, 2147, 0, 1, 135, Igapó 
1084, 2148, 0, 1, 135, Igapó 
1084, 2149, 0, 1, 135, Igapó 
1084, 2150, 0, 1, 135, Igapó 
1084, 2175, 0, 1, 135, Igapó 
1084, 2176, 0, 1, 135, Igapó 
1084, 2177, 0, 1, 135, Igapó 
1084, 2178, 0, 1, 135, Igapó 
1084, 2179, 0, 1, 135, Igapó 
1084, 2180, 0, 1, 135, Igapó 
1084, 2181, 0, 1, 135, Igapó 
1084, 2182, 0, 1, 135, Igapó 
1085, 2175, 0, 1, 135, Igapó 
1085, 2176, 0, 1, 135, Igapó 
1085, 2177, 0, 1, 135, Igapó 
1085, 2178, 0, 1, 135, Igapó 
1085, 2179, 0, 1, 135, Igapó 
1085, 2180, 0, 1, 135, Igapó 
1085, 2181, 0, 1, 135, Igapó 
1085, 2182, 0, 1, 135, Igapó 
1086, 2175, 0, 1, 135, Igapó 
1086, 2176, 0, 1, 135, Igapó 
1086, 2177, 0, 1, 135, Igapó 
1086, 2178, 0, 1, 135, Igapó 
1086, 2179, 0, 1, 135, Igapó 
1086, 2180, 0, 1, 135, Igapó 
1086, 2181, 0, 1, 135, Igapó 
1086, 2182, 0, 1, 135, Igapó 
1087, 2175, 0, 1, 135, Igapó 
1087, 2176, 0, 1, 135, Igapó 
1087, 2177, 0, 1, 135, Igapó 
1087, 2178, 0, 1, 135, Igapó 
1087, 2179, 0, 1, 135, Igapó 
1087, 2180, 0, 1, 135, Igapó 
1087, 2181, 0, 1, 135, Igapó 
1087, 2182, 0, 1, 135, Igapó 
1088, 2175, 0, 1, 135, Igapó 
1088, 2176, 0, 1, 135, Igapó 
1088, 2177, 0, 1, 135, Igapó 
1088, 2178, 0, 1, 135, Igapó 
1088, 2179, 0, 1, 135, Igapó 
1088, 2180, 0, 1, 135, Igapó 
1088, 2181, 0, 1, 135, Igapó 
1088, 2182, 0, 1, 135, Igapó 
1089, 2175, 0, 1, 135, Igapó 
1089, 2176, 0, 1, 135, Igapó 
1089, 2177, 0, 1, 135, Igapó 
1089, 2178, 0, 1, 135, Igapó 
1089, 2179, 0, 1, 135, Igapó 
1089, 2180, 0, 1, 135, Igapó 
1089, 2181, 0, 1, 135, Igapó 
1089, 2182, 0, 1, 135, Igapó 
1090, 2175, 0, 1, 135, Igapó 
1090, 2176, 0, 1, 135, Igapó 
1090, 2177, 0, 1, 135, Igapó 
1090, 2178, 0, 1, 135, Igapó 
1090, 2179, 0, 1, 135, Igapó 
1090, 2180, 0, 1, 135, Igapó 
1090, 2181, 0, 1, 135, Igapó 
1090, 2182, 0, 1, 135, Igapó 
1091, 2175, 0, 1, 135, Igapó 
1091, 2176, 0, 1, 135, Igapó 
1091, 2177, 0, 1, 135, Igapó 
1091, 2178, 0, 1, 135, Igapó 
1091, 2179, 0, 1, 135, Igapó 
1091, 2180, 0, 1, 135, Igapó 
1091, 2181, 0, 1, 135, Igapó 
1091, 2182, 0, 1, 135, Igapó 
1092, 2175, 0, 1, 135, Igapó 
1092, 2176, 0, 1, 135, Igapó 
1092, 2177, 0, 1, 135, Igapó 
1092, 2178, 0, 1, 135, Igapó 
1092, 2179, 0, 1, 135, Igapó 
1092, 2180, 0, 1, 135, Igapó 
1092, 2181, 0, 1, 134, Igapó 
1092, 2182, 14, 15, 94, Igapó 
1093, 1193, 228, 162, 51,Solo exposto 
1093, 1194, 228, 162, 51,Solo exposto 
1093, 1195, 228, 162, 51,Solo exposto 
1093, 1196, 228, 162, 51,Solo exposto 
1093, 1197, 228, 162, 51,Solo exposto 
1093, 1198, 228, 162, 51,Solo exposto 
1093, 1199, 228, 162, 51,Solo exposto 
1093, 1200, 228, 162, 51,Solo exposto 
1094, 1193, 228, 162, 51,Solo exposto 
1094, 1194, 228, 162, 51,Solo exposto 
1094, 1195, 228, 162, 51,Solo exposto 
1094, 1196, 228, 162, 51,Solo exposto 
1094, 1197, 228, 162, 51,Solo exposto 
1094, 1198, 228, 162, 51,Solo exposto 
1094, 1199, 228, 162, 51,Solo exposto 
1094, 1200, 228, 162, 51,Solo exposto 
